"ShipStation","ShipStation"
"Register","Register"
"Click the button below to launch ShipStation!","Click the button below to launch ShipStation!"
"Launch ShipStation","Launch ShipStation"
"Click here to set a new ShipStation account","Click here to set a new ShipStation account"
"Link up with ShipStation","Link up with ShipStation"
"Store View:","Store View:"
"ShipStation Username:","ShipStation Username:"
"Password:","Password:"
"Don't have a ShipStation account yet?","Don't have a ShipStation account yet?"
"Please go to %s to select a plan. You can try it for free for 30 days!","Please go to %s to select a plan. You can try it for free for 30 days!"
"Here are some highlights:","Here are some highlights:"
"Consolidate your orders from Magento and other marketplaces such as eBay, Amazon, Buy.com and more.","Consolidate your orders from Magento and other marketplaces such as eBay, Amazon, Buy.com and more."
"Print shipping labels for both USPS and UPS.","Print shipping labels for both USPS and UPS."
"Receive deep discounts on USPS Priority and Express Mail postage.","Receive deep discounts on USPS Priority and Express Mail postage."
"Create labels and packing slips in batch.","Create labels and packing slips in batch."
"Automate your business with order automation rules.","Automate your business with order automation rules."
"It looks like you have not linked up your ShipStation account yet. Please fill out the following form:","It looks like you have not linked up your ShipStation account yet. Please fill out the following form:"
"Unable to authenticate","Unable to authenticate"
"Orders Awaiting Shipment","Orders Awaiting Shipment"
"Ship Now","Ship Now"
"%d order awaiting shipment","%d order awaiting shipment"
"%d orders awaiting shipment","%d orders awaiting shipment"
